term,estimate,std.error,statistic,p.value,conf.low,conf.high,sd_pred,sd_outcome,reverse,beta,beta.conf.low,beta.conf.high
(Intercept),0.628434666589357,0.3174035372915199,1.979923323955177,0.04864759884637608,0.0037548429872314992,1.2531144901914826,NA,0.6368114702441479,TRUE,NA,NA,NA
chord_size,0.4222676986055982,0.043419979104257,9.725193501168636,1.4833304477364276e-19,0.33681312201484165,0.5077222751963548,0.5406654832725928,0.6368114702441479,TRUE,0.14538760527442304,0.115965425241955,0.17480978530689112
hutch_78_roughness,-1.62001025973261,0.17158952988228013,-9.441195280644608,1.2040755602810022e-18,-1.9577144900430206,-1.2823060294221995,0.16956893236592407,0.6368114702441479,FALSE,0.1749342825080651,0.13846781763577423,0.21140074738035597
har_18_harmonicity,1.7799236285747813,0.19761001114601745,9.007254330144058,2.773886177583506e-17,1.3910086594535274,2.1688385976960354,0.14311560273073845,0.6368114702441479,TRUE,0.16221806984112735,0.12677327063157473,0.19766286905068
har_19_corpus,-0.08922346435841343,0.009568012734875501,-9.325182441824415,2.8066584164556385e-18,-0.10805420757711733,-0.07039272113970953,2.383240695122401,0.6368114702441479,FALSE,0.1354122222522004,0.10683327383049186,0.16399117067390895
